controller,scenario,evaluation_seed,state_estimation_mode,latency_compensation,initial_state_fingerprint,initial_command_fingerprint,push_schedule_fingerprint,state_age_mean_ms,state_age_p95_ms,state_age_max_ms,compensation_horizon_p95_ms,compensation_applied_ratio,compensation_rejected_ratio,action_delay_steps,state_delay_steps,sensor_noise_scale,state_estimator_seed,base_mass_scale,damping_scale,friction_scale,actuator_strength_scale,success,episode_steps,episode_duration_s,velocity_rmse_mps,pitch_rmse_deg,max_abs_pitch_deg,height_rmse_mm,normalized_torque_rms,mean_abs_mechanical_power_w,torque_saturation_ratio,residual_action_rms,residual_action_delta_rms,mean_residual_longitudinal_force_n,mean_residual_vertical_force_n,four_wheel_contact_ratio,undesired_contact_steps,mean_reward,solve_p95_ms,raw_position_estimation_rmse_m,control_position_estimation_rmse_m,raw_pitch_estimation_rmse_deg,control_pitch_estimation_rmse_deg,raw_velocity_estimation_rmse_mps,control_velocity_estimation_rmse_mps
D1 LQR+VMC,randomized,132,estimated,constant_velocity,1b7a7fa154a79a1a794ef8404ffae0140f1e2719b839857e5b38d3674739729e,a95af400eafe9bb70db4211a1b6cad8f95b86f8f7ee2152f9bdd03101eec6a00,97773864824d9f513bf336faa02df65b28157aaf7a08fac256caf5ccb04ae4b1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2119130811,0.9313722913777985,1.1620996281206688,1.1343696282482012,1.0264743128609943,1,600,6.0,0.2085470363462761,0.5986403699756926,2.1387669971700456,9.348774016633842,0.21274883066666075,88.21270848069346,0.0,0.0,0.0,0.0,0.0,0.9966666666666667,0,3.8437766580419703,0.0,0.0,0.0,0.0,0.0,3.8686270157518453e-16,3.8686270157518453e-16
D1 MPC+VMC,randomized,132,estimated,constant_velocity,1b7a7fa154a79a1a794ef8404ffae0140f1e2719b839857e5b38d3674739729e,a95af400eafe9bb70db4211a1b6cad8f95b86f8f7ee2152f9bdd03101eec6a00,97773864824d9f513bf336faa02df65b28157aaf7a08fac256caf5ccb04ae4b1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2119130811,0.9313722913777985,1.1620996281206688,1.1343696282482012,1.0264743128609943,1,600,6.0,0.19246643995953439,0.7934437183822692,2.4979277768972583,9.447352501248854,0.20608046199924346,70.76743606464984,0.0,0.0,0.0,0.0,0.0,0.9966666666666667,0,3.886998645589503,0.42250794867868524,0.0,0.0,0.0,0.0,4.361959344235801e-16,4.361959344235801e-16
D1 LQR+VMC,randomized,133,estimated,constant_velocity,0b94059643ae46500cab0b554894e068285669652369926e590e904fef68fe14,88ee8ee7ed9c598c83e9212cf32484a798c61f0b2b386a02b301df25b9ea2174,afe678e0be7bc00032e3029306cea0d57f6eae2a10144e13e8944aeeed0db396,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1614274294,1.1145332790015046,1.030492392512524,0.8845519031870943,0.9652460868393753,1,600,6.0,0.4719531115242409,1.9006605136554542,7.679671365203065,11.506682629199746,0.22629332927866147,117.05750514984494,0.0,0.0,0.0,0.0,0.0,0.9533333333333334,0,3.206572623495077,0.0,0.0,0.0,0.0,0.0,5.128045584935012e-16,5.128045584935012e-16
D1 MPC+VMC,randomized,133,estimated,constant_velocity,0b94059643ae46500cab0b554894e068285669652369926e590e904fef68fe14,88ee8ee7ed9c598c83e9212cf32484a798c61f0b2b386a02b301df25b9ea2174,afe678e0be7bc00032e3029306cea0d57f6eae2a10144e13e8944aeeed0db396,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1614274294,1.1145332790015046,1.030492392512524,0.8845519031870943,0.9652460868393753,1,600,6.0,0.48236899837860797,2.38759320988363,10.234162579184837,11.123433843009767,0.23418524065157373,125.98185091894838,0.0,0.0,0.0,0.0,0.0,0.8983333333333333,0,3.2498443788507663,0.3733083976840134,0.0,0.0,0.0,0.0,6.219355894728114e-16,6.219355894728114e-16
D1 LQR+VMC,randomized,134,estimated,constant_velocity,a39177103c65712762f5f04919c9f5274a194352e7123d9be3b9948a777d5f18,e5aa3494343ca1e2e74a96e6584c51d67767c742dba2d2414bc3e277645502c2,04b94d00ab801877e626a964194f0c3537e3fd83cc8094321bb7d2c5acf85f64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1294581413,1.1130639464762684,1.0269182989567793,1.0037205315584476,1.0060237377134706,1,600,6.0,0.19694656316210837,0.8283430325557684,2.3642965032134873,8.84544540167691,0.2164423776885274,76.60572191083142,0.0,0.0,0.0,0.0,0.0,0.995,0,3.760033786855488,0.0,0.0,0.0,0.0,0.0,2.9038622668984376e-16,2.9038622668984376e-16
D1 MPC+VMC,randomized,134,estimated,constant_velocity,a39177103c65712762f5f04919c9f5274a194352e7123d9be3b9948a777d5f18,e5aa3494343ca1e2e74a96e6584c51d67767c742dba2d2414bc3e277645502c2,04b94d00ab801877e626a964194f0c3537e3fd83cc8094321bb7d2c5acf85f64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1294581413,1.1130639464762684,1.0269182989567793,1.0037205315584476,1.0060237377134706,1,600,6.0,0.17729776806231384,1.075068795060212,2.752783441130764,8.905547673235825,0.21847756343249047,64.10782566790954,0.0,0.0,0.0,0.0,0.0,0.995,0,3.8182188717373418,0.4237769979226867,0.0,0.0,0.0,0.0,4.189584650655202e-16,4.189584650655202e-16
D1 LQR+VMC,randomized,135,estimated,constant_velocity,7fec012b780b26dceeff8fcdf03c1f75327ac70e5016705f4638573a235e243d,fab0fc12d16737fe6eb716cd2a5f6c6fc87baa068da5b69d3acc7c61a7d47e9b,0d87a13e27a69a8987063aa300e1b59dff2a4ffee4805f18d736ae42b38539ba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1194058859,1.0206111294275515,0.9263370497375614,1.235489406189609,1.0474239035632644,1,600,6.0,0.20490714816013098,0.8430593871007317,2.512283800997969,7.097511361235286,0.21316760380873628,87.07224879764414,0.0,0.0,0.0,0.0,0.0,0.995,0,3.7169833690068117,0.0,0.0,0.0,0.0,0.0,4.1018083090748147e-16,4.1018083090748147e-16
D1 MPC+VMC,randomized,135,estimated,constant_velocity,7fec012b780b26dceeff8fcdf03c1f75327ac70e5016705f4638573a235e243d,fab0fc12d16737fe6eb716cd2a5f6c6fc87baa068da5b69d3acc7c61a7d47e9b,0d87a13e27a69a8987063aa300e1b59dff2a4ffee4805f18d736ae42b38539ba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1194058859,1.0206111294275515,0.9263370497375614,1.235489406189609,1.0474239035632644,1,600,6.0,0.19846485379874992,1.1164100314522927,2.841640266224004,7.346508045301635,0.2112520770542247,67.68202840225734,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,0,3.7574070261515278,0.39189763701870106,0.0,0.0,0.0,0.0,5.391232510951952e-16,5.391232510951952e-16
D1 LQR+VMC,randomized,136,estimated,constant_velocity,0db306068b7c011feae0531150b3f30808f457f349038797bc861f83e4799273,aa3c03f2dc321410810d0d3c01d85cd887d66914cbe53aeb68451c11b9feb39d,2aea97535df493f98c03800605956032f985957982d2b6786b8f561d57a85950,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1120340089,0.9280372446023853,0.8316009993033402,0.7257125674497298,0.9243368589466237,1,600,6.0,0.35791167372246663,1.5781214578481102,3.8685240908105576,11.18450465477848,0.2329937862121714,185.65651123112062,0.0,0.0,0.0,0.0,0.0,0.8616666666666667,0,3.188010304774448,0.0,0.0,0.0,0.0,0.0,4.114458671413779e-16,4.114458671413779e-16
D1 MPC+VMC,randomized,136,estimated,constant_velocity,0db306068b7c011feae0531150b3f30808f457f349038797bc861f83e4799273,aa3c03f2dc321410810d0d3c01d85cd887d66914cbe53aeb68451c11b9feb39d,2aea97535df493f98c03800605956032f985957982d2b6786b8f561d57a85950,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1120340089,0.9280372446023853,0.8316009993033402,0.7257125674497298,0.9243368589466237,1,600,6.0,0.35439594861516044,1.8497459893771226,4.692514485972551,11.6853925405858,0.2282878470820922,133.98877894121054,0.0,0.0,0.0,0.0,0.0,0.9183333333333333,0,3.3640208381301235,0.3751714051759335,0.0,0.0,0.0,0.0,5.549558336744815e-16,5.549558336744815e-16
