case_id,terrain_kind,training_seed,mode,perturbation,telemetry_csv,control_steps,simulated_duration_s,completed,terminated,termination_reason,velocity_rmse_mps,clearance_rmse_m,max_abs_yaw_rad,final_position_x_m,progress_m,commanded_displacement_m,progress_fraction,mean_torque_saturation_fraction,policy_enabled_fraction,policy_gated_fraction,episode_return,tail_velocity_rmse_mps,tail_velocity_mean_mps,tail_command_velocity_mean_mps,tail_observed_seconds,quality_success,quality_failure_reasons,full_bias_mps,full_variance_m2ps2,full_std_mps,full_rmse_mps,full_bias_share_of_mse,full_failure_type,tail_bias_mps,tail_variance_m2ps2,tail_std_mps,tail_rmse_mps,tail_bias_share_of_mse,tail_failure_type,return_roll_target_rad,return_pitch_target_rad,return_velocity_tracking,return_upright,return_height_tracking,return_alive,return_residual_effort,return_residual_smoothness,return_joint_limit_penalty,return_contact_penalty,return_termination_penalty,return_total,vertical_upper_fraction,vertical_action_mean,vertical_action_std,longitudinal_action_mean,raw_mu_z_mean,raw_std_z_mean,raw_upper_probability_z_mean
tracking_v2_development_10_bumps,bumps,1000,full,pitch_minus,episodes/tracking_v2_development_10_bumps_pitch_minus_full_seed_1000.csv,400,4.0,1,0,time_limit,0.09473643684962346,0.018693338733192094,0.001735395129573358,0.8050782373999352,0.8050782373999352,0.88625,0.9084098588433684,0.0,1.0,0.0,1476.6184343739558,0.06694601275400365,0.19330785442425147,0.25,1.0,0,tail_velocity,-0.019983814592752572,0.00857563962128518,0.09260474945317428,0.09473643684962346,0.04449617614137777,fluctuation_dominated,-0.056692145575748525,0.0012677692536773562,0.035605747480952514,0.06694601275400365,0.7171274645940415,mixed,-0.01104598718014925,-2.724774330341418,747.6580846137872,398.81014376944927,281.80993511894064,80.0000000000006,-31.530764371032372,-0.12896475719173722,0.0,0.0,0.0,1476.6184343739558,0.805,0.9858469435572624,0.03845136628106476,-0.10029684519628063,1.166188236474991,0.8666360974311829,0.5743937494582996
tracking_v2_development_10_bumps,bumps,1000,replay,pitch_minus,episodes/tracking_v2_development_10_bumps_pitch_minus_replay_seed_1000.csv,400,4.0,1,0,time_limit,0.09477541099204732,0.018718321615656647,0.0035812375103364477,0.8077480551629627,0.8077480551629627,0.88625,0.9114223471514389,0.0,0.0,0.0,1476.617485750592,0.06252873169642838,0.19697293714956524,0.25,1.0,0,tail_velocity,-0.019359719663268164,0.008607579783271153,0.09277704340660546,0.09477541099204732,0.041726002109832766,fluctuation_dominated,-0.05302706285043477,0.0010979728930199653,0.033135674023927225,0.06252873169642838,0.719177191235488,mixed,-0.006726627710628353,-2.5069257704658967,747.894628366349,398.7972853173091,281.6794551001849,80.0000000000006,-31.628775977849664,-0.1251070554022741,0.0,0.0,0.0,1476.617485750592,0.8325,0.9879200187325478,0.035353410617420755,-0.09745854656910524,1.1670858079195023,0.8666360974311829,0.5749830638246383
tracking_v2_development_10_bumps,bumps,2000,full,pitch_minus,episodes/tracking_v2_development_10_bumps_pitch_minus_full_seed_2000.csv,400,4.0,1,0,time_limit,0.09071458319390059,0.018590029162299522,0.0037115844436055824,0.8402583968837387,0.8402583968837387,0.88625,0.948105384354007,0.0,1.0,0.0,1482.019197938136,0.0604058832051666,0.21639267573728824,0.25,1.0,1,,-0.011198924086689717,0.008103719703343674,0.09002066264665948,0.09071458319390059,0.015240470777735169,fluctuation_dominated,-0.03360732426271178,0.002519418481697172,0.0501938091969236,0.0604058832051666,0.3095347379983146,mixed,-0.0036776568939034904,-3.4601731357083048,752.3710274017237,398.7215643488112,283.14053545330546,80.0000000000006,-32.13778131519074,-0.07614795051364957,0.0,0.0,0.0,1482.019197938136,1.0,1.0,0.0,-0.058355701216496525,2.8065899074077607,0.9098257422447205,0.9552027806968322
tracking_v2_development_10_bumps,bumps,2000,replay,pitch_minus,episodes/tracking_v2_development_10_bumps_pitch_minus_replay_seed_2000.csv,400,4.0,1,0,time_limit,0.10030407813323845,0.018585501866945298,0.002644839349964752,0.755769134363474,0.755769134363474,0.88625,0.8527719428642867,0.0,0.0,0.0,1470.420710873203,0.07885942918152428,0.17445041541395653,0.25,1.0,0,tail_velocity,-0.032348024720472005,0.009014513386842537,0.0949447912570381,0.10030407813323845,0.10400598971178468,fluctuation_dominated,-0.0755495845860435,0.0005110698397120997,0.02260685382162011,0.07885942918152428,0.9178187024557161,bias_dominated_slow,0.0031618599618770597,-0.13155529266206792,740.4652192282343,398.96550458519044,283.1997180090513,80.0000000000006,-32.138018206722684,-0.0717127425503255,0.0,0.0,0.0,1470.420710873203,1.0,1.0,0.0,-0.05998488463461399,2.8222702246904374,0.9098257422447205,0.9551113673935627
tracking_v2_development_10_bumps,bumps,,zero,pitch_plus,episodes/tracking_v2_development_10_bumps_pitch_plus_zero_seed_None.csv,400,4.0,1,0,time_limit,0.11135459438586552,0.015700769085094893,0.0038074864708767357,0.9576710145151681,0.9576710145151681,0.88625,1.0805878866179612,0.0,0.0,0.0,1522.519111784911,0.11931625561887414,0.2868230950126856,0.25,1.0,0,tail_velocity,0.01820329522952312,0.012068485733627453,0.10985665994206929,0.11135459438586552,0.026722909742170755,fluctuation_dominated,0.036823095012685644,0.012880428528595238,0.11349197561323549,0.11931625561887414,0.09524481559395417,fluctuation_dominated,-0.009456588061780302,-7.477081190902915,733.2041938790464,397.39519192434034,311.9197259815243,80.0000000000006,0.0,0.0,0.0,0.0,0.0,1522.519111784911,0.0,0.0,0.0,0.0,,,
tracking_v2_development_10_bumps,bumps,,constant_fz,pitch_plus,episodes/tracking_v2_development_10_bumps_pitch_plus_constant_fz_seed_None.csv,400,4.0,1,0,time_limit,0.10045710802759177,0.018959955560852754,0.003565544290173465,0.8146877592028684,0.8146877592028684,0.88625,0.919252760736664,0.0,0.0,0.0,1466.9729709198136,0.06191577351756923,0.202669058606488,0.25,1.0,1,,-0.017514599485304094,0.009784869358136628,0.09891849856390172,0.10045710802759177,0.030397584762087645,fluctuation_dominated,-0.04733094139351203,0.0015933449970828564,0.03991672578109152,0.06191577351756923,0.5843696861612493,mixed,-0.013877428248311872,-4.2119737537979685,742.6900015882933,397.84743793580463,278.48553139571624,80.0000000000006,-31.99999999999967,-0.05,0.0,0.0,0.0,1466.9729709198136,1.0,1.0,0.0,0.0,,,
tracking_v2_development_10_bumps,bumps,0,full,pitch_plus,episodes/tracking_v2_development_10_bumps_pitch_plus_full_seed_0.csv,400,4.0,1,0,time_limit,0.10656417314294836,0.0186488226522283,0.003438002665823048,0.9112454592994682,0.9112454592994682,0.88625,1.028203621212376,0.0,1.0,0.0,1464.6127965806022,0.09720214349694281,0.2621634907463283,0.25,1.0,0,tail_velocity,0.006680349202294385,0.011311295932175683,0.1063545764514893,0.10656417314294836,0.003929849249054311,fluctuation_dominated,0.012163490746328281,0.009300306193264248,0.09643809513498412,0.09720214349694281,0.015659027038262628,fluctuation_dominated,-0.004193120412161905,-6.570136315021822,738.1093175061789,397.6154071712268,282.4024087337284,80.0000000000006,-33.460938494603205,-0.05339833592897323,0.0,0.0,0.0,1464.6127965806022,0.985,0.9996416103839875,0.003481769062041822,0.30382361117750406,1.221151281297207,0.8846489787101746,0.5982774499000489
tracking_v2_development_10_bumps,bumps,0,replay,pitch_plus,episodes/tracking_v2_development_10_bumps_pitch_plus_replay_seed_0.csv,400,4.0,1,0,time_limit,0.1042417978544176,0.01886500732866056,0.0066438566985055625,0.8517228783369136,0.8517228783369136,0.88625,0.9610413295762072,0.0,0.0,0.0,1463.3236731628986,0.06806640688056652,0.22490983621896463,0.25,1.0,0,tail_velocity,-0.008219870264837267,0.010798786152750508,0.10391720816472365,0.1042417978544176,0.006217934460407045,fluctuation_dominated,-0.025090163781035426,0.004003519427071652,0.06327337059989496,0.06806640688056652,0.13587555829951126,fluctuation_dominated,0.006215103845711696,-5.10051648516947,739.4265852394445,397.7825407028597,279.6235383877842,80.0000000000006,-33.45551985239913,-0.05347131479120934,0.0,0.0,0.0,1463.3236731628986,0.985,0.9996705290675163,0.003608507781671204,0.3030449263751507,1.2186679469048978,0.8846489787101746,0.5972167331270053
tracking_v2_development_10_bumps,bumps,1000,full,pitch_plus,episodes/tracking_v2_development_10_bumps_pitch_plus_full_seed_1000.csv,400,4.0,1,0,time_limit,0.10448691189882861,0.01885112809965553,0.00432154992929134,0.8524857339192212,0.8524857339192212,0.88625,0.96190209751111,0.0,1.0,0.0,1464.8915878182108,0.06657809715669741,0.22030945233128713,0.25,1.0,0,tail_velocity,-0.008064145866831147,0.010852484309592044,0.10417525766510992,0.10448691189882861,0.005956524905355673,fluctuation_dominated,-0.02969054766871289,0.0035511144001385262,0.05959122754347762,0.06657809715669741,0.19887200857151813,fluctuation_dominated,-0.006957000517344304,-5.43076919934391,739.1024103279004,397.64810604425475,279.83840092669055,80.0000000000006,-31.575945966335446,-0.12138351430119466,0.0,0.0,0.0,1464.8915878182108,0.81,0.9866896420717239,0.03714537303548121,-0.0992139173555188,1.169210665524006,0.8666360974311829,0.5757511352552879
tracking_v2_development_10_bumps,bumps,1000,replay,pitch_plus,episodes/tracking_v2_development_10_bumps_pitch_plus_replay_seed_1000.csv,400,4.0,1,0,time_limit,0.1055503656263851,0.018779372825637033,0.008291552107343383,0.9148738517028697,0.9148738517028697,0.88625,1.0322977170131111,0.0,0.0,0.0,1465.680529575733,0.09440850399014679,0.26131108359973454,0.25,1.0,0,tail_velocity,0.007543694857718736,0.011083972351757208,0.10528044619850928,0.1055503656263851,0.005107974748959594,fluctuation_dominated,0.011311083599734602,0.008785025013457378,0.09372846426490396,0.09440850399014679,0.014354437969769028,fluctuation_dominated,-0.00478371458035629,-6.825206885374126,738.7891313950576,397.40262856740355,281.24265264652513,80.0000000000006,-31.628775977849664,-0.1251070554022741,0.0,0.0,0.0,1465.680529575733,0.8325,0.9879200187325478,0.035353410617420755,-0.09745854656910524,1.1744712698459625,0.8666360974311829,0.5782985808394053
tracking_v2_development_10_bumps,bumps,2000,full,pitch_plus,episodes/tracking_v2_development_10_bumps_pitch_plus_full_seed_2000.csv,400,4.0,1,0,time_limit,0.11387235154060928,0.018386764973148968,0.005501263148300072,0.9505727372209458,0.9505727372209458,0.88625,1.0725785469347766,0.0,1.0,0.0,1462.1685826671453,0.13063568796201255,0.2964356182087211,0.25,1.0,0,tail_velocity,0.016485651528807255,0.012695135739058833,0.1126726929608893,0.11387235154060928,0.02095924588631945,fluctuation_dominated,0.0464356182087211,0.014909416330882204,0.12210412085954431,0.13063568796201255,0.1263510310313415,fluctuation_dominated,-0.005430533820950727,-6.591424963597729,731.1600680189492,397.58537354251956,285.63180307486795,80.0000000000006,-32.133581962986334,-0.07508000620547611,0.0,0.0,0.0,1462.1685826671453,1.0,1.0,0.0,-0.059151959424780215,2.80972806930542,0.9098257422447205,0.9568835512876032
tracking_v2_development_10_bumps,bumps,2000,replay,pitch_plus,episodes/tracking_v2_development_10_bumps_pitch_plus_replay_seed_2000.csv,400,4.0,1,0,time_limit,0.1027805472756667,0.018777673977762376,0.006117863993357606,0.8706298025425131,0.8706298025425131,0.88625,0.9823749535035409,0.0,0.0,0.0,1467.466003054554,0.06692492116625637,0.23571054938487063,0.25,1.0,0,tail_velocity,-0.0035293443057973282,0.010551384627056692,0.10271993295878211,0.1027805472756667,0.00117914225978977,fluctuation_dominated,-0.014289450615129389,0.004274756674227408,0.06538162336794191,0.06692492116625637,0.045588502548984895,fluctuation_dominated,-0.015289092940533919,-5.857123247563277,741.3703142860029,397.67192061920196,280.63349909862114,80.0000000000006,-32.138018206722684,-0.0717127425503255,0.0,0.0,0.0,1467.466003054554,1.0,1.0,0.0,-0.05998488463461399,2.7994644695520403,0.9098257422447205,0.9543944351675432
tracking_v2_development_10_bumps,bumps,,zero,push_minus,episodes/tracking_v2_development_10_bumps_push_minus_zero_seed_None.csv,400,4.0,1,0,time_limit,0.0994873536376566,0.016158844377916887,0.004604101547402808,0.8714327265044822,0.8714327265044822,0.88625,0.9832809325861577,0.0,0.0,0.0,1529.4651240488695,0.06932483750580065,0.23502328961526317,0.25,1.0,0,tail_velocity,-0.003389984795732044,0.00988624153690885,0.09942958079419248,0.0994873536376566,0.0011610735807366514,fluctuation_dominated,-0.014976710384736797,0.004581631241257383,0.06768774808824254,0.06932483750580065,0.04667186361209305,fluctuation_dominated,-0.004194627560047378,-5.053246181929213,744.2970278497702,398.23670277621596,306.9313934228829,80.0000000000006,0.0,0.0,0.0,0.0,0.0,1529.4651240488695,0.0,0.0,0.0,0.0,,,
tracking_v2_development_10_bumps,bumps,,constant_fz,push_minus,episodes/tracking_v2_development_10_bumps_push_minus_constant_fz_seed_None.csv,400,4.0,1,0,time_limit,0.09945165161635233,0.01896218620687268,0.0022697861653594854,0.823391987387721,0.823391987387721,0.88625,0.9290741747675273,0.0,0.0,0.0,1468.6316093076173,0.05970042756353838,0.21028270428303864,0.25,1.0,1,,-0.015382943691367857,0.009653996052608521,0.09825475078900013,0.09945165161635233,0.02392516275161783,fluctuation_dominated,-0.03971729571696131,0.0019866774722007404,0.04457216028196009,0.05970042756353838,0.4425929154814939,mixed,-0.00454589084521098,-3.3540146732220264,743.5050038981402,398.41353374318913,278.7630716662883,80.0000000000006,-31.99999999999967,-0.05,0.0,0.0,0.0,1468.6316093076173,1.0,1.0,0.0,0.0,,,
tracking_v2_development_10_bumps,bumps,0,full,push_minus,episodes/tracking_v2_development_10_bumps_push_minus_full_seed_0.csv,400,4.0,1,0,time_limit,0.09695874380568821,0.018982223976045383,0.004312398751939099,0.8264024756164294,0.8264024756164294,0.88625,0.9324710585234747,0.0,1.0,0.0,1469.6028480462426,0.059719864246633995,0.20706367317434854,0.25,1.0,1,,-0.01462847152548279,0.009187005821205223,0.0958488696918499,0.09695874380568821,0.02276270872127378,fluctuation_dominated,-0.04293632682565145,0.0017229340243572382,0.041508240439185544,0.059719864246633995,0.516906689408849,mixed,0.003048372567062462,-3.9159410761074227,746.0502388712277,398.3197643347237,278.74121704583234,80.0000000000006,-33.45490189452455,-0.05347031101746776,0.0,0.0,0.0,1469.6028480462426,0.985,0.9996705290675163,0.003608507781671204,0.3029765146970749,1.2160666280984878,0.8846489787101746,0.596041713997345
tracking_v2_development_10_bumps,bumps,0,replay,push_minus,episodes/tracking_v2_development_10_bumps_push_minus_replay_seed_0.csv,400,4.0,1,0,time_limit,0.09720898709045771,0.01893896273195824,0.004162232299328591,0.829374468583277,0.829374468583277,0.88625,0.9358245061588457,0.0,0.0,0.0,1469.7752520692638,0.0642330868719557,0.20790829095227156,0.25,1.0,0,tail_velocity,-0.013864162869286418,0.009257372159086672,0.09621523870513793,0.09720898709045771,0.020341101530116,fluctuation_dominated,-0.04209170904772845,0.002354177478541582,0.04851986684381545,0.0642330868719557,0.42941334042408913,mixed,-0.0017117787588920446,-3.972441021871967,745.7433918134284,398.30536594640944,279.2354854766157,80.0000000000006,-33.45551985239913,-0.05347131479120934,0.0,0.0,0.0,1469.7752520692638,0.985,0.9996705290675163,0.003608507781671204,0.3030449263751507,1.2165993219614029,0.8846489787101746,0.5962774993635215
tracking_v2_development_10_bumps,bumps,1000,full,push_minus,episodes/tracking_v2_development_10_bumps_push_minus_full_seed_1000.csv,400,4.0,1,0,time_limit,0.0939562586034937,0.01887816518700158,0.002694744535954982,0.8486282119169059,0.8486282119169059,0.88625,0.9575494633759164,0.0,1.0,0.0,1476.0111132415595,0.05730319265482097,0.22862515856677287,0.25,1.0,1,,-0.009051582665384623,0.008745847382018293,0.09351923535839188,0.0939562586034937,0.009281060740563988,fluctuation_dominated,-0.021374841433227112,0.002826772042139925,0.053167396420550114,0.05730319265482097,0.13913877148475545,fluctuation_dominated,0.001891497622809232,-3.7283694706479036,749.3827287745605,398.2631377076926,280.1134362883267,80.0000000000006,-31.61984036357465,-0.12834916544610545,0.0,0.0,0.0,1476.0111132415595,0.8325,0.9875697043538093,0.03560997147532788,-0.09892847595270723,1.170296930372715,0.8666360974311829,0.5762470062567738
tracking_v2_development_10_bumps,bumps,1000,replay,push_minus,episodes/tracking_v2_development_10_bumps_push_minus_replay_seed_1000.csv,400,4.0,1,0,time_limit,0.09486039337321123,0.019082365512318084,0.0023011810562872975,0.8303307024477427,0.8303307024477427,0.88625,0.9369034724375094,0.0,0.0,0.0,1472.7451454895647,0.055494033210566,0.21532481558140848,0.25,1.0,1,,-0.013655343709585124,0.00881202581909347,0.09387239114400714,0.09486039337321123,0.020722179404879585,fluctuation_dominated,-0.03467518441859153,0.0018772193075120686,0.04332688896646133,0.055494033210566,0.3904316171555825,mixed,-0.0023976492486230375,-3.3598532133800347,748.319693201879,398.2565703305515,277.92276499038564,80.0000000000006,-31.628775977849664,-0.1251070554022741,0.0,0.0,0.0,1472.7451454895647,0.8325,0.9879200187325478,0.035353410617420755,-0.09745854656910524,1.1692464478313922,0.8666360974311829,0.5758577400727237
tracking_v2_development_10_bumps,bumps,2000,full,push_minus,episodes/tracking_v2_development_10_bumps_push_minus_full_seed_2000.csv,400,4.0,1,0,time_limit,0.09642420659066671,0.01895027445154756,0.0017127735747094102,0.8710838898697091,0.8710838898697091,0.88625,0.9828873228431132,0.0,1.0,0.0,1472.7378856293308,0.06530715046489072,0.2367611424022509,0.25,1.0,0,tail_velocity,-0.0034459672961865474,0.009285752926033185,0.09636261166050443,0.09642420659066671,0.0012771742530466148,fluctuation_dominated,-0.01323885759774911,0.004089756551350397,0.06395120445582238,0.06530715046489072,0.04109410744866094,fluctuation_dominated,0.0019002099679794595,-4.846943101768528,747.5230794604224,398.12628204648604,279.3018807546007,80.0000000000006,-32.138437409978756,-0.07491922220105243,0.0,0.0,0.0,1472.7378856293308,1.0,1.0,0.0,-0.058858086574764455,2.810711886584759,0.9098257422447205,0.9559010975076409
