condition,training_seed,case_id,terrain_kind,quality_failure_reasons,source_csv,tail_bias_mps,tail_variance_m2ps2,tail_std_mps,tail_rmse_mps,tail_bias_share_of_mse,tail_failure_type
flat_rl,1000,tracking_v2_holdout_18_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_18_ramp.csv,0.008403325191047906,0.00022907426197545588,0.015135199436263002,0.017311560768514093,0.23562962449150565,mixed
flat_rl,1000,tracking_v2_holdout_19_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_19_ramp.csv,0.0025199548694287764,0.0002909099479813703,0.01705608243358862,0.017241233149787406,0.021362342626839958,fluctuation_dominated
flat_rl,1000,tracking_v2_holdout_20_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_20_ramp.csv,-0.02612218258002086,0.00017188107755724082,0.013110342389016422,0.02922754694293015,0.7987928848695379,mixed
flat_rl,1000,tracking_v2_holdout_21_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_21_ramp.csv,-0.052936485898210844,0.0002736540717081212,0.016542492910928547,0.055461027857042065,0.911033585879618,bias_dominated_slow
flat_rl,1000,tracking_v2_holdout_22_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_22_ramp.csv,-0.02242549262900111,0.00018621305108592378,0.01364599029333979,0.02625101466113847,0.7297797278878871,mixed
flat_rl,1000,tracking_v2_holdout_23_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_23_ramp.csv,-0.03672854038218509,0.0002660796655765699,0.016311948552413042,0.04018787558682806,0.8352514549736234,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_00_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_00_flat.csv,-0.03514337625629486,0.00012487829271919714,0.011174895646904142,0.03687729907966019,0.9081733498219401,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_01_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_01_flat.csv,-0.05809314859025295,0.00021647389763790496,0.014713051948453962,0.05992735444492033,0.9397224870173619,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_02_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_02_flat.csv,-0.07401576459373177,0.0002311384937402815,0.015203239580440791,0.07556104751877782,0.9595166597362796,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_03_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_03_flat.csv,-0.053079509463993244,0.00017152127900189998,0.01309661326457722,0.054671341706053346,0.942614979367442,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_04_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_04_bumps.csv,-0.10345389514151922,0.00046634812552991296,0.021595094941442444,0.10568375724529463,0.9582464173557667,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_05_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_05_bumps.csv,0.0398146042555611,0.007286014112986281,0.08535815200076839,0.09418713725882756,0.17869056109161,fluctuation_dominated
mixed_rl,1000,tracking_v2_holdout_06_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_06_bumps.csv,-0.08323714629199232,0.0015677915336858536,0.03959534737422887,0.09217491012482945,0.8154717473858063,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_07_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_07_bumps.csv,-0.030737841927843366,0.002428774576212162,0.04928259912192296,0.05808260929566825,0.2800622084147509,mixed
mixed_rl,1000,tracking_v2_holdout_08_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_08_bumps.csv,-0.11207727830390776,0.0009001598180741144,0.03000266351632992,0.11602360160797333,0.9331306753155915,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_09_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_09_bumps.csv,-0.08767031411263386,0.0001379073131856706,0.011743394449036897,0.08845332831382637,0.9823737900417181,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_10_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_10_bumps.csv,-0.07042516226718673,0.0010057608070129496,0.031713732152065445,0.0772364181417842,0.8314027611996763,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_11_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_11_bumps.csv,0.06518781061400936,0.024572483958038835,0.15675612893293467,0.16977024065096563,0.14743807832636996,fluctuation_dominated
mixed_rl,1000,tracking_v2_holdout_12_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_12_bumps.csv,-0.04845581562663176,0.007899733402493487,0.08888044443235806,0.10123092151381226,0.22912128471302728,mixed
mixed_rl,1000,tracking_v2_holdout_13_bumps,bumps,progress|tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_13_bumps.csv,-0.07217789287738334,0.0019323243941602188,0.04395821190813178,0.08451019236979194,0.7294410804278659,mixed
