time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
14,1792,7,245,0.2,-0.0020956378430128098,0.017042575404047966,0.13519564270973206,0.0105182305,0.04296875,52,-1.0677146911621094,0.0003,4.656943321228027,-0.001099694985896349,,
15,1920,7,245,0.2,-0.004559277440421283,0.013720354065299034,0.1352120041847229,0.005183161,0.017578125,56,-1.4480180740356445,0.0003,4.656589984893799,-0.009396709501743317,,
16,2048,8,245,0.2,-0.019682740326970816,0.010745800100266933,0.13523679971694946,0.014117802,0.064453125,60,-0.7651952505111694,0.0003,4.65541684627533,-0.03572102636098862,,
17,2176,8,245,0.2,-0.0026244414038956165,0.010433592949993908,0.13525372743606567,0.013360675,0.072265625,64,-2.9169609546661377,0.0003,4.653988599777222,-0.002646195702254772,,
18,2304,9,245,0.2,-0.008674427401274443,0.009180296445265412,0.13525527715682983,0.012161186,0.060546875,68,-1.8223345279693604,0.0003,4.653362035751343,-0.013996324501931667,,
19,2432,9,245,0.2,-0.003767822461668402,0.007704017334617674,0.13525207340717316,0.010213647,0.044921875,72,-0.9562830924987793,0.0003,4.653379440307617,-0.0052823773585259914,,
20,2560,10,245,0.2,-0.0057591411750763655,0.008902985602617264,0.13526083528995514,0.006252615,0.025390625,76,-12.862649917602539,0.0003,4.653487324714661,-0.011585705913603306,,
21,2688,10,245,0.2,-0.00815912033431232,0.006283384980633855,0.13527549803256989,0.010598307,0.046875,80,-6.97149658203125,0.0003,4.6527323722839355,-0.016107141971588135,,
22,2816,11,245,0.2,-0.007142727728933096,0.0056379809393547475,0.13527634739875793,0.011361664,0.05078125,84,-8.178529739379883,0.0003,4.652084827423096,-0.0130538921803236,,
23,2944,11,245,0.2,-0.006608897587284446,0.004789210623130202,0.13527078926563263,0.011286657,0.060546875,88,-2.561539649963379,0.0003,4.652311444282532,-0.013290146365761757,,
24,3072,12,245,0.2,-0.011328500229865313,0.005418656917754561,0.13525599241256714,0.020889405,0.109375,92,-14.549568176269531,0.0003,4.6527804136276245,-0.016867104917764664,,
25,3200,13,245,0.2,-0.005937774898484349,0.004374397685751319,0.13525080680847168,0.0077398866,0.03515625,96,-8.059211730957031,0.0003,4.653613328933716,-0.015175476670265198,59.29278,3200.0
26,3328,13,245,0.2,-0.005079742753878236,0.004242380673531443,0.1352401226758957,0.015439684,0.09375,100,-16.77699089050293,0.0003,4.653834939002991,-0.005919882096350193,59.29278,3200.0
27,3456,14,244,0.2,-0.007367068203166127,0.008455230155959725,0.13523177802562714,0.0058350107,0.013671875,104,0.46983182430267334,0.0003,4.654594898223877,-0.015059487894177437,59.29278,3200.0
28,3584,14,244,0.2,-0.004595367703586817,0.0028276082302909344,0.13521808385849,0.00645345,0.025390625,108,-7.885015487670898,0.0003,4.655065894126892,-0.010954857803881168,59.29278,3200.0
29,3712,15,244,0.2,-0.009337831288576126,0.003632963984273374,0.1352129429578781,0.009623744,0.046875,112,-25.30475425720215,0.0003,4.655848860740662,-0.01968989335000515,59.29278,3200.0
30,3840,15,244,0.2,-0.006268603960052133,0.0037132780998945236,0.13522103428840637,0.017177232,0.09765625,116,-7.8575897216796875,0.0003,4.655824184417725,-0.007825976237654686,59.29278,3200.0
31,3968,16,244,0.2,-0.004378949524834752,0.0029232839588075876,0.13522663712501526,0.006977008,0.0234375,120,-14.885801315307617,0.0003,4.65530800819397,-0.010358602739870548,59.29278,3200.0
32,4096,16,244,0.2,-0.003724378766492009,0.0025831134407781065,0.13522487878799438,0.008091322,0.033203125,124,-33.747745513916016,0.0003,4.655185580253601,-0.007255387492477894,59.29278,3200.0
33,4224,17,244,0.2,-0.0063193056266754866,0.0034764287411235273,0.13521559536457062,0.0066973735,0.021484375,128,-10.574957847595215,0.0003,4.65544319152832,-0.013958734460175037,59.29278,3200.0
